split,policy_id,claim_family,effect_size,effective_n,family_correlation,multiplicity,benchmark_count,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.85,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,3,0,3
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.85,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.85,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,12,0.85,40,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.05,40,1,0.05,0.14551858457912786,0.0,0.975,1.0,0.10392408686114205,0.875,0.0,0.0,1,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.925,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.85,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,18,18,36
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.85,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,36,0.85,40,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.05,1,1,0.0,0.0,0.5,0.5,0.5,0.005174563259012485,1.0,1.0,0.5,1,2,0,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1
