stage,estimand,effect_size,model_count,family_count,models_per_family,family_correlation,benchmark_count,item_count,measurement_error,transport_heterogeneity,held_out_benchmark,held_out_family,simulated_standard_error,power,monte_carlo_se,power_ci_lower,power_ci_upper,target_power,design_adequacy,evidence_role
S3,TOP_K_DECISION_STABILITY,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.011797090676814975,0.718,0.020123419192572618,0.6785580983825577,0.7574419016174423,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,CLAIM_LICENSE_RATE,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.14433756729740643,0.056,0.010282412168358162,0.035846472150018,0.076153527849982,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,CLAIM_LICENSE_RATE,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.14433756729740643,0.056,0.010282412168358162,0.035846472150018,0.076153527849982,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,CLAIM_LICENSE_RATE,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.14433756729740643,0.05,0.009746794344808964,0.030896283084174435,0.06910371691582556,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,REPAIR_EFFECT,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.009276065614135283,0.19,0.017544229820656135,0.15561330955151398,0.22438669044848603,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,REPAIR_EFFECT,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.009276065614135283,0.578,0.02208691920571993,0.5347096383567889,0.621290361643211,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,REPAIR_EFFECT,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.009276065614135283,0.898,0.013534843922262271,0.871471705912366,0.924528294087634,0.8,ADEQUATE,PLANNING_SIMULATION_ONLY
S4,PAIRWISE_ACCURACY_DIFFERENCE,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01686138465980608,0.1,0.01341640786499874,0.07370384058460247,0.12629615941539754,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,PAIRWISE_ACCURACY_DIFFERENCE,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01686138465980608,0.218,0.018464885594013304,0.1818088242357339,0.2541911757642661,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,PAIRWISE_ACCURACY_DIFFERENCE,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01686138465980608,0.402,0.021926969694875762,0.35902313939804353,0.4449768606019565,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
